1000390,Busselton,-33.65249,115.3455,AU,21898,7
1000391,Bunbury,-33.32711,115.64137,AU,68248,5
1000392,Armadale,-32.14607,116.0093,AU,62296,54
1000393,Alice Springs,-23.69748,133.88362,AU,25186,583
1000394,Albany,-35.02692,117.88369,AU,33650,90
1000395,Adelaide,-34.92866,138.59863,AU,1225235,59
1000396,Woodridge,-27.63333,153.1,AU,20650,40
1000397,Wodonga,-36.12179,146.88809,AU,31605,167
1000398,Werribee,-37.9,144.66667,AU,37737,27
1000399,Warrnambool,-38.38176,142.48799,AU,33982,24
1000400,Wantirna South,-37.88333,145.21667,AU,17477,71
1000401,Wangaratta,-36.35846,146.32056,AU,16845,151
1000402,Wagga Wagga,-35.12577,147.35375,AU,46913,201
1000403,Traralgon,-38.19528,146.5415,AU,21960,46
1000404,Townsville,-19.26639,146.80569,AU,196219,15
1000405,Toowoomba,-27.56056,151.95386,AU,131258,599
1000406,Thornbury,-37.75,145,AU,17434,63
1000407,Thomastown,-37.68333,145.01667,AU,20331,113
1000408,Tarneit,-37.86667,144.66667,AU,21690,33
1000409,Taree,-31.91099,152.45387,AU,16621,30
1000410,Tamworth,-31.09048,150.92905,AU,47597,384
1000411,Sydney,-33.86785,151.20732,AU,4627345,58
1000412,Surfers Paradise,-28.00274,153.42999,AU,18501,13
1000413,Sunnybank,-27.58333,153.05,AU,16442,44
1000414,Sunbury,-37.57742,144.72607,AU,29925,220
1000415,Port Stephens,-32.71314,152.06623,AU,27531,16
1000416,Springvale,-37.94853,145.15274,AU,19771,55
1000417,Southport,-27.96724,153.39796,AU,28315,7
1000418,South Grafton,-29.7076,152.92627,AU,16399,2
1000419,Shepparton,-36.38047,145.39867,AU,38773,115
1000420,Seaford,-38.1,145.13333,AU,16033,7
1000421,Saint Kilda,-37.8676,144.98099,AU,17795,11
1000422,Saint Albans,-37.73333,144.8,AU,35091,81
1000423,Rowville,-37.93333,145.23333,AU,34145,73
1000424,Rockhampton,-23.38032,150.50595,AU,61724,13
1000425,Richmond,-37.81819,145.00176,AU,26121,20
1000426,Reservoir,-37.71667,145,AU,47637,89
1000427,Queanbeyan,-35.35493,149.232,AU,40661,581
1000428,Quakers Hill,-33.73333,150.88333,AU,25017,39
1000429,Preston,-37.75,145.01667,AU,29925,61
1000430,Port Macquarie,-31.43084,152.90894,AU,41491,10
1000431,Point Cook,-37.91482,144.75088,AU,32413,10
1000432,Pakenham South,-38.13333,145.51667,AU,32911,11
1000433,Orange,-33.28397,149.10018,AU,39329,868
1000434,Nowra,-34.88422,150.60036,AU,34479,30
1000435,Northcote,-37.76667,145,AU,22920,52
1000436,Noble Park,-37.96667,145.16667,AU,28377,46
1000437,Newcastle,-32.92715,151.77647,AU,308308,21
1000438,Nerang,-27.98941,153.33633,AU,16256,13
1000439,Narre Warren,-38.03333,145.3,AU,25882,19
1000440,Narangba,-27.20338,152.95923,AU,16223,48
1000441,Mulgrave,-37.91667,145.2,AU,17647,75
1000442,Mount Martha,-38.26667,145.01667,AU,17087,11
1000443,Mount Gambier,-37.8318,140.77919,AU,23209,41
1000444,Mount Eliza,-38.18333,145.08333,AU,17248,55
1000445,Mosman,-33.83902,151.23956,AU,26236,24
1000446,Mornington,-38.21792,145.03876,AU,22421,25
1000447,Morayfield,-27.10876,152.94907,AU,18020,8
1000448,Moe,-38.17828,146.26099,AU,15582,76
1000449,Mill Park,-37.66667,145.06667,AU,30517,133
1000450,Mildura,-34.18551,142.16251,AU,30016,56
1000451,Melton,-37.68339,144.58543,AU,35490,138
1000452,Melbourne,-37.814,144.96332,AU,4246375,25
1000453,Maryborough,-25.54073,152.70493,AU,21501,11
1000454,Marrickville,-33.90318,151.15176,AU,23161,18
1000455,Maroubra,-33.95,151.23333,AU,26538,24
1000456,Maitland,-32.73308,151.5574,AU,67132,16
1000457,Mackay,-21.15345,149.16554,AU,74219,11
1000458,Liverpool,-33.9,150.93333,AU,21317,11
1000459,Lismore,-28.81354,153.2773,AU,30086,11
1000460,Lilydale,-37.75,145.35,AU,15649,99
1000461,Launceston,-41.43876,147.13467,AU,106153,11
1000462,Lara,-38.02388,144.40617,AU,15520,13
1000463,Langwarrin,-38.16667,145.16667,AU,21371,109
1000464,Lalor,-37.66667,145.01667,AU,19873,123
1000465,Keysborough,-37.99116,145.17385,AU,22700,25
1000466,Kew,-37.80639,145.03086,AU,23876,64
1000467,Katoomba,-33.71977,150.30739,AU,18593,991
1000468,Hornsby,-33.70244,151.09931,AU,19863,186
